date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:27:31	153/153	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2027%20Aug%202026%2003:27:30%20GMT	http://latentfaces.localhost:8080/robots.txt		(from )
09:28:01	95582/95582	---MC-	200	added ('OK')	text/html	date:Thu,%2027%20Aug%202026%2003:27:54%20GMT	http://latentfaces.localhost:8080/	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/index.html	(from )
09:28:08	2788/2788	---MC-	200	added ('OK')	application/rss+xml	etag:%2269b9963a2071a08067bc9c52bb9785c8%22	http://latentfaces.localhost:8080/feed	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/feed	(from http://latentfaces.localhost:8080/)
09:28:14	5129/5129	---MC-	200	added ('OK')	application/rss+xml	etag:%2269b9963a2071a08067bc9c52bb9785c8%22	http://latentfaces.localhost:8080/comments/feed	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/comments/feed	(from http://latentfaces.localhost:8080/)
09:28:17	2363/2363	---MC-	200	added ('OK')	application/json	date:Thu,%2027%20Aug%202026%2003:28:17%20GMT	http://latentfaces.localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flatentfaces.localhost%3A8080%2F	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/wp-json/oembed/1.0/embede6a8.json	(from http://latentfaces.localhost:8080/)
09:28:39	3198/3198	---M--	200	added ('OK')	text/css	etag:%2269cce32e-c7e%22	http://latentfaces.localhost:8080/wp-admin/css/color-picker.min.css?ver=7.1	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/wp-admin/css/color-picker.min4d6f.css	(from http://latentfaces.localhost:8080/)
09:28:39	2557/2557	---MC-	200	added ('OK')	text/xml	date:Thu,%2027%20Aug%202026%2003:28:21%20GMT	http://latentfaces.localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flatentfaces.localhost%3A8080%2F&format=xml	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/wp-json/oembed/1.0/embed7fb0	(from http://latentfaces.localhost:8080/)
09:28:41	20560/20560	---M--	200	added ('OK')	text/css	etag:%226a8b3236-5050%22	http://latentfaces.localhost:8080/wp-content/plugins/audioigniter/player/build/style.css?ver=2.0.4	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/wp-content/plugins/audioigniter/player/build/style1c12.css	(from http://latentfaces.localhost:8080/)
09:28:42	30591/30591	---M--	200	added ('OK')	text/css	etag:%22646dedbd-777f%22	http://latentfaces.localhost:8080/wp-content/themes/musicsong/assets/css/font-awesome.min.css?ver=7.1	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/wp-content/themes/musicsong/assets/css/font-awesome.min4d6f.css	(from http://latentfaces.localhost:8080/)
09:28:43	1261/1261	---M--	200	added ('OK')	text/css	etag:%22646dedbd-4ed%22	http://latentfaces.localhost:8080/wp-content/themes/musicsong/assets/css/slick.min.css?ver=7.1	C:/My%20Web%20Sites/nightofyellowmoon/latentfaces.localhost_8080/wp-content/themes/musicsong/assets/css/slick.min4d6f.css	(from http://latentfaces.localhost:8080/)
